team_id,league_id,team_name,team_stadium,team_manager
1,1,Arsenal,Emirates Stadium,Mikel Arteta
2,1,Aston Villa,Villa Park,Unai Emery
3,1,Bournemouth,Dean Park,Andoni Iraola
4,1,Brentford,Brentford Community Stadium,Thomas Frank
5,1,Brighton & Hove Albion,Falmer Stadium,Roberto De zerbi
6,1,Burnley,Turf Moor,Vincent Kompany
7,1,Chelsea,Stamford Bridge,Mauricio Pochettino
8,1,Crystal Palace,Selhurst Park,Oliver Glasner
9,1,Everton,Goodison Park,Sean Dyche
10,1,Fulham,Craven Cottage,Marco Silva
11,1,Liverpool,Anfield,Jurgen Klopp
12,1,Luton Town,Kenilworth Road,Rob Edwards
13,1,Manchester City,City of Manchester Stadium,Pep Guardiola
14,1,Manchester United,Old Trafford,Erik ten Hag
15,1,Newcastle United,St. James' Park,Eddie Howe
16,1,Nottingham Forest,City Ground,Nuno Espirito Santo
17,1,Sheffeild United,Bramall Lane,Chris Wilder
18,1,Tottenham Hotspurs,Tottenham Hotspurs Stadium,Ange Postecoglou
19,1,West Ham United,London Stadium,David Moyes
20,1,Wolverhampton Wanderers,Molineux Stadium,Gary O'Neil
21,2,Alaves,Mendizorroza,Luis Garcia
22,2,Almeria,Power Horse Stadium,Pepe Mel
23,2,Athletic Bibao,San Mames,Ernesto Valverde
24,2,Atletico Madrid,Civitas Metropolitano,Diego Simeone
25,2,Barcelona,Estadi Olimpic Lluis Companys,Xavi
26,2,Cadiz,Nuevo Mirandilla,Mauricio Pellegrino
27,2,Celta Viga,ABANCA Balaidos,Claudio Giraldez
28,2,Getafe,Coliseum,Jose Bordalas
29,2,Girona,Montilivi,Michel
30,2,Granada,Nuevo Los Carmenes,Jose Ramon Sandoval
31,2,Las Palmas,Gran Canaria,Garcia Pimienta
32,2,Mallorca,Mallorca Son Moix,Javier Aguirre
33,2,Osasuna,El Sadar,Jagoba Arrasate 
34,2,Rayo Vallecano,Vallecas,Inigo Perez
35,2,Real Betis,Benito Villamarin,Manuel Pellegrini
36,2,Real Madrid,Santiago Bernabeu,Carlo Ancelotti
37,2,Real Sociedad,Reale Arena,Imanol Alguacil
38,2,Sevilla,Ramon Sanchez-Pizjuan,Quique Sanchez Flores
39,2,Valencia,Mestalla,Ruben Baraja
40,2,Villarreal,Estadio de la Ceramica,Marcelino
41,3,FC Augsburg,WWK Arena,Jess Throup
42,3,Bayer Leverkusen,BayArena,Xabi Alonso
43,3,FC Bayern Munich,Allianz Arena,Thomas Tuchel
44,3,Vfl Bochum,Vonovia Ruhrstadion,Heiko Butscher
45,3,Borussia Dortmund,Signal Iduna Park,Edin Terzic
46,3,Borussia Monchengladbach,Borussia-Park,Gerardo Seoane
47,3,Darmstadt 98,MErck-Stadion am Bollenfalltor,Torsten Lieberknecht
48,3,Eintracht Frankfurt,Deutsche Bank Park,Dinno Toppmoller
49,3,SC Freiburg,Europa-Park Stadion,Christian Streich
50,3,FC Heidenheim,Voith-Arena,Frank Schmidt
51,3,TSG Hoffenheim,PreZero Arena,Pellegrino Matarazzo
52,3,FC Koln,RheinEnergieStadion,Timo Schultz
53,3,Mainz 05,Mewa Arena,Bo Henriksen
54,3,RB Leipzig,Red Bull Arena,Marco Rose
