team_id,league_id,team_name,team_stadium,team_manager,team_abbv
1,1,Arsenal,Emirates Stadium,Mikel Arteta,ARS
2,1,Aston Villa,Villa Park,Unai Emery,ASV
3,1,Bournemouth,Dean Park,Andoni Iraola,BOU
4,1,Brentford,Brentford Community Stadium,Thomas Frank,BRE
5,1,Brighton & Hove Albion,Falmer Stadium,Roberto De zerbi,BHA
6,1,Burnley,Turf Moor,Vincent Kompany,BUR
7,1,Chelsea,Stamford Bridge,Mauricio Pochettino,CHE
8,1,Crystal Palace,Selhurst Park,Oliver Glasner,CRY
9,1,Everton,Goodison Park,Sean Dyche,EVE
10,1,Fulham,Craven Cottage,Marco Silva,FUL
11,1,Liverpool,Anfield,Jurgen Klopp,LIV
12,1,Luton Town,Kenilworth Road,Rob Edwards,LUT
13,1,Manchester City,City of Manchester Stadium,Pep Guardiola,MC
14,1,Manchester United,Old Trafford,Erik ten Hag,MU
15,1,Newcastle United,St. James' Park,Eddie Howe,NEW
16,1,Nottingham Forest,City Ground,Nuno Espirito Santo,NOF
17,1,Sheffeild United,Bramall Lane,Chris Wilder,SHU
18,1,Tottenham Hotspurs,Tottenham Hotspurs Stadium,Ange Postecoglou,TOT
19,1,West Ham United,London Stadium,David Moyes,WHU
20,1,Wolverhampton Wanderers,Molineux Stadium,Gary O'Neil,WOL
21,2,Alaves,Mendizorroza,Luis Garcia,ALA
22,2,Almeria,Power Horse Stadium,Pepe Mel,ALM
23,2,Athletic Bibao,San Mames,Ernesto Valverde,BIL
24,2,Atletico Madrid,Civitas Metropolitano,Diego Simeone,AM
25,2,Barcelona,Estadi Olimpic Lluis Companys,Xavi,FCB
26,2,Cadiz,Nuevo Mirandilla,Mauricio Pellegrino,CAD
27,2,Celta Vigo,ABANCA Balaidos,Claudio Giraldez,VIG
28,2,Getafe,Coliseum,Jose Bordalas,GET
29,2,Girona,Montilivi,Michel,GIR
30,2,Granada,Nuevo Los Carmenes,Jose Ramon Sandoval,GRA
31,2,Las Palmas,Gran Canaria,Garcia Pimienta,LPM
32,2,Mallorca,Mallorca Son Moix,Javier Aguirre,MAL
33,2,Osasuna,El Sadar,Jagoba Arrasate ,OSA
34,2,Rayo Vallecano,Vallecas,Inigo Perez,RVA
35,2,Real Betis,Benito Villamarin,Manuel Pellegrini,RB
36,2,Real Madrid,Santiago Bernabeu,Carlo Ancelotti,RM
37,2,Real Sociedad,Reale Arena,Imanol Alguacil,SOC
38,2,Sevilla,Ramon Sanchez-Pizjuan,Quique Sanchez Flores,SEV
39,2,Valencia,Mestalla,Ruben Baraja,VAL
40,2,Villarreal,Estadio de la Ceramica,Marcelino,VIL
41,3,FC Augsburg,WWK Arena,Jess Throup,AUG
42,3,Bayer Leverkusen,BayArena,Xabi Alonso,BL
43,3,FC Bayern Munich,Allianz Arena,Thomas Tuchel,FCB
44,3,Vfl Bochum,Vonovia Ruhrstadion,Heiko Butscher,BOC
45,3,Borussia Dortmund,Signal Iduna Park,Edin Terzic,DOR
46,3,Borussia Monchengladbach,Borussia-Park,Gerardo Seoane,MON
47,3,Darmstadt 98,MErck-Stadion am Bollenfalltor,Torsten Lieberknecht,DAR
48,3,Eintracht Frankfurt,Deutsche Bank Park,Dinno Toppmoller,FRA
49,3,SC Freiburg,Europa-Park Stadion,Christian Streich,FRE
50,3,FC Heidenheim,Voith-Arena,Frank Schmidt,HED
51,3,TSG Hoffenheim,PreZero Arena,Pellegrino Matarazzo,HOF
52,3,FC Koln,RheinEnergieStadion,Timo Schultz,KOL
53,3,Mainz 05,Mewa Arena,Bo Henriksen,M05
54,3,RB Leipzig,Red Bull Arena,Marco Rose,RBL
55,3,VfB Stuttgart,MHPArena,Sebastian HoeneB,STU
